DateTime,AddedIPs,RemovedIPs
1542744735,48,55
1542745698,62,69
1542746655,57,60
1542747630,77,71
1542748583,57,79
1542749540,65,65
1542750496,49,46
1542751480,54,50
1542752428,51,66
1542753374,63,42
1542754332,64,60
1542755327,60,52
1542756271,89,41
1542757214,56,50
1542758683,56,115
1542759615,53,71
1542760587,87,0
1542761531,53,63
1542762496,48,132
1542763469,60,80
1542764414,66,70
1542765370,15,0
1542766356,6,115
1542767289,19,0
1542768319,15,123
1542769224,8,79
1542770429,5,58
1542771397,33,118
1542772331,127,112
1542773313,93,58
1542774275,104,86
1542775212,61,84
1542776186,63,58
1542777157,95,79
1542778090,95,76
1542779057,92,60
1542780042,78,88
1542780979,79,72
1542781938,92,66
1542782893,79,90
1542783873,95,79
1542784829,52,65
1542785771,91,77
1542786736,80,57
1542787712,80,0
1542788671,62,56
1542789613,87,59
1542790569,63,63
1542791537,73,54
1542792492,83,63
1542793469,69,70
1542794413,80,70
1542795372,83,97
1542796353,90,85
1542797291,93,87
1542798257,83,70
1542799216,58,72
1542800181,77,51
1542801142,88,55
1542802098,60,71
1542803062,88,65
1542804028,66,65
1542804974,87,69
1542805940,57,63
1542806893,72,77
1542807868,54,72
1542808820,55,76
1542809780,64,78
1542810743,77,83
1542811692,60,69
1542812673,74,70
1542813610,52,55
1542814572,51,70
1542815549,51,76
1542816537,54,93
1542817471,63,66
1542818417,61,76
1542819372,52,72
1542820343,70,0
1542821291,65,68
1542822272,67,69
1542823219,60,52
1542824187,74,48
1542825136,66,70
1542826095,57,59
1542827057,841,58
1542828027,79,54
1542828970,63,52
1542829933,68,47
1542830915,54,49
1542831871,67,59
1542832811,68,58
1542833772,69,64
1542834744,56,61
1542835695,62,55
1542836697,66,45
1542837622,73,76
1542838585,76,50
1542839537,70,57
1542840496,74,65
1542841456,65,48
1542842437,71,0
1542843382,60,56
1542844936,59,109
1542846037,71,58
1542846970,69,45
1542847938,48,35
1542848897,65,55
1542849860,65,53
1542850811,54,54
1542851789,74,45
1542852735,56,59
1542853697,75,52
1542854658,78,51
1542855648,70,62
1542856582,63,57
1542857541,65,70
1542858493,55,54
1542859476,68,71
